PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
1gotb,8/4k3/3R1Rp1/5p1p/2r2P1P/5KP1/r7/8 w - - 2 47,f6g6 c4c3 d6d3 c3d3,1837,158,29,32,endgame mate mateIn2 rookEndgame short,https://lichess.org/O1DiL0zd#93,
1gouS,r4rk1/pp2q1pp/2p2p1n/2bpNb2/1n6/1P1PP1PP/PBPN1PB1/R2QK2R w KQ - 0 13,e5f3 f5d3 c2d3 b4d3 e1f1 d3f2,2757,101,87,434,crushing fork long middlegame,https://lichess.org/13liXJmi#25,Hungarian_Opening Hungarian_Opening_Other_variations
1gp0p,5rk1/5B1p/pq1p1Qp1/8/2P5/6Pb/P3RP2/6K1 b - - 0 26,f8f7 e2e8 f7f8 f6f8,929,76,87,291,endgame mate mateIn2 short,https://lichess.org/Cx7l55wm/black#52,
1gp2Z,r2q2k1/3n1pp1/p1Q4p/8/2P1p3/4B3/1P3PPP/R5K1 w - - 5 28,a1a6 d7b8 c6e8 d8e8,1859,82,87,166702,advantage endgame fork short,https://lichess.org/78Z0SrlG#55,
1gp5O,8/p4k2/1p3p1p/8/3PK3/2P3QP/P3q1P1/8 w - - 14 41,e4d5 e2e6,1184,76,91,3931,endgame master mate mateIn1 oneMove queenEndgame,https://lichess.org/KJuMbnZF#81,
1gp6D,3r1rk1/ppp2pp1/2nb3Q/3N4/2B1P2n/5q1P/PPP2P2/2KR2R1 b - - 0 18,h4g6 g1g6 d6f4 h6f4 f3f4 d5f4,2061,84,86,51,advantage long middlegame pin,https://lichess.org/TojGGOlN/black#36,Englund_Gambit Englund_Gambit_Other_variations
1gpBN,r2q2k1/p3r2p/3b1Qp1/2p5/4b3/PPB5/2P1B2P/RN2K1NR w KQ - 1 24,e1d1 d6e5 d1c1 e5f6,1439,75,95,21286,advantage discoveredAttack middlegame short,https://lichess.org/LphMglDj#47,
1gpMK,1r2k3/1pb5/2qp1n2/P1p1pr1p/2P4N/1Q2R1Bp/1P3PP1/4R1K1 w - - 0 35,h4f5 c6g2,597,103,92,231,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/4uRzOSCA#69,
1gpOB,r4rk1/p2q1p1p/1pb2p2/2pp4/8/PQ1P2P1/1P2PPBP/R3K2R w KQ - 0 15,b3c3 d5d4 g2c6 d7c6 e1g1 d4c3,1102,78,89,561,crushing long middlegame,https://lichess.org/WoLPqG6I#29,English_Opening English_Opening_Anglo-Indian_Defense
1gpRl,r4rk1/1ppqbpp1/3p3p/3BpN2/p3P3/3P4/PPPN1P2/R1Bb2RK b - - 1 17,g7g6 g1g6 g8h7 g6h6,1965,74,89,1555,advantage kingsideAttack middlegame pin short,https://lichess.org/8VvEPKCz/black#34,Philidor_Defense Philidor_Defense_Other_variations
